NCES School ID,State School ID,Schoolname,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Race,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*,Student Pop,% white,% black ,% hispanic/latinx,% asian,% FARMS,ESOL,total allocated cost,title 1 status,% graduation rate,dropout rate,suspension rate,US news school ranking ,US news college readiness score,avg SAT score
2.40048E+11,MD-15-150406,Bethesda-Chevy Chase HS,4301 East-West Hwy,Bethesda,MD,20814,,(240)740-0400,13,City: Small,No,No,White,–,–,2124,114.8,18.5,160,53,2124,58.7,13.9,16.5,5.2,10.2,6.4,17973980,no,94.9,5,<3.0,567,69.1,1249
2.40048E+11,MD-15-150757,Blair HS,51 University Blvd E,Silver Spring,MD,20901,,(301)649-2800,21,Suburb: Large,No,Yes,Hispanic/Latinx,–,–,3196,187.96,17,854,203,3196,23.7,23.7,33.8,14.4,33.3,17,29135518,yes,86.7,7.4,<3.0,1848,56,1216
2.40048E+11,MD-15-150321,Blake HS,300 Norwood Rd,Silver Spring,MD,20905,,(240)740-1400,21,Suburb: Large,No,No,Black ,Yes,No,1717,100.8,17,464,153,1717,17.1,41.2,27.6,9.7,36,5,17187539,no,91.6,5,<3.0,1508,51.1,1086
2.40048E+11,MD-15-150602,Churchill HS,11300 Gainsborough Rd,Potomac,MD,20854,3799,(301)469-1200,21,Suburb: Large,No,No,White,–,–,2227,125.3,17.8,62,17,2227,48.5,9.2,8,28.6,5,5,19972582,no,95,5,<3.0,133,86.1,1341
2.40048E+11,MD-15-150249,Clarksburg HS,22500 Wims Rd,Clarksburg,MD,20871,,(301)444-3000,21,Suburb: Large,No,No,Even Distribution,–,–,2338,134.8,17.3,495,132,2338,19.6,28.7,26.8,20.8,27,8.1,22828725,no,93.2,5,3.8,1529,51.1,1112
2.40048E+11,MD-15-150701,Damascus HS,25921 Ridge Rd,Damascus,MD,20872,1846,(240)207-2400,21,Suburb: Large,No,No,White,–,–,1311,78.4,16.7,163,45,1311,52.9,12.2,20.6,8.8,15.8,5,14930679,no,90.2,5,<3.0,1031,52.7,1148
2.40048E+11,MD-15-150789,Einstein HS,11135 Newport Mill Rd,Kensington,MD,20895,1699,(301)929-2200,21,Suburb: Large,No,No,Hispanic/Latinx,Yes,No,1746,120.1,14.5,486,147,1746,22.1,12.8,48.3,8.4,36.3,17.1,20344839,yes,83.7,10.3,3.1,4235,44.2,1076
2.40048E+11,MD-15-150551,Gaithersburg HS,101 Education Blvd,Gaithersburg,MD,20877,2392,(301)284-4500,13,City: Small,No,No,Hispanic/Latinx,Yes,Yes,2352,162.8,14.4,827,193,2352,13.3,23,53.2,7.1,43.6,23.5,25810400,yes,74,17.1,4.5,5025,37.5,1063
2.40048E+11,MD-15-150815,Kennedy HS,1901 Randolph Rd,Silver Spring,MD,20902,,(240)740-0100,21,Suburb: Large,No,No,Hispanic/Latinx,Yes,Yes,1781,122.2,14.6,708,186,1781,5,26.3,59.6,7.2,50.5,25,20283415,yes,81.7,10.1,<3.0,6665,28.7,985
2.40048E+11,MD-15-150510,Magruder HS,5939 Muncaster Mill Rd,Rockville,MD,20855,1735,(301)840-4600,41,Rural: Fringe,No,No,Hispanic/Latinx,–,–,1609,102.2,15.7,421,109,1609,25.9,17.8,39,12.2,33,11.9,17482049,no,86.6,7.1,<3.0,3180,58.9,1127
